id,poliza_id,tipo_recaudo,valor_pagado,fecha_pago,numero_renovacion
2844,131927,oficina,3000000.0,2026-02-27,0
2846,131927,aseguradora,300000.0,2026-02-27,0
62656,200003,aseguradora,1121400.0,2026-02-27,0
62657,200003,oficina,1121400.0,2026-02-25,0
62658,200004,aseguradora,1121400.0,2026-02-27,0
62659,200004,oficina,1121400.0,2026-02-25,0
62660,200006,aseguradora,544700.0,2026-02-27,0
62661,200006,oficina,544700.0,2026-02-25,0
62648,200008,aseguradora,761400.0,2026-02-26,0
62649,200008,oficina,761400.0,2026-02-24,0
62650,200010,aseguradora,946600.0,2026-02-27,0
62651,200010,oficina,946600.0,2026-02-25,0
52064,200011,aseguradora,0.0,2026-02-25,0
53003,200011,oficina,592900.0,2026-02-25,0
62652,200012,aseguradora,1121400.0,2026-02-27,0
62653,200012,oficina,1121400.0,2026-02-25,0
62654,200013,aseguradora,447300.0,2026-02-27,0
62655,200013,oficina,447300.0,2026-02-25,0
52712,200021,aseguradora,487900.0,2026-02-18,0
52713,200021,oficina,487900.0,2026-02-11,0
62642,200024,aseguradora,1121400.0,2026-02-26,0
62643,200024,oficina,1121400.0,2026-02-24,0
62644,200025,aseguradora,1121400.0,2026-02-26,0
62645,200025,oficina,1121400.0,2026-02-24,0
62646,200027,aseguradora,592900.0,2026-02-26,0
62647,200027,oficina,592900.0,2026-02-25,0
62632,200032,aseguradora,1121400.0,2026-02-25,0
62633,200032,oficina,1121400.0,2026-02-23,0
62634,200033,aseguradora,592900.0,2026-02-25,0
62635,200033,oficina,592900.0,2026-02-23,0
62636,200034,aseguradora,592900.0,2026-02-25,0
62637,200034,oficina,592900.0,2026-02-23,0
62638,200036,aseguradora,792800.0,2026-02-25,0
62639,200036,oficina,792800.0,2026-02-24,0
62640,200037,aseguradora,592900.0,2026-02-25,0
62641,200037,oficina,592900.0,2026-02-24,0
62624,200038,aseguradora,677400.0,2026-02-23,0
62625,200038,oficina,677400.0,2026-02-22,0
62626,200039,aseguradora,1121400.0,2026-02-23,0
62627,200039,oficina,1121400.0,2026-02-22,0
62628,200040,aseguradora,792800.0,2026-02-23,0
62629,200040,oficina,792800.0,2026-02-23,0
62630,200046,aseguradora,665500.0,2026-02-25,0
62631,200046,oficina,665500.0,2026-02-23,0
62620,200050,aseguradora,544700.0,2026-02-23,0
62621,200050,oficina,544700.0,2026-02-22,0
62622,200055,aseguradora,343300.0,2026-02-23,0
62623,200055,oficina,343300.0,2026-02-22,0
62612,200060,aseguradora,946600.0,2026-02-22,0
62613,200060,oficina,946600.0,2026-02-20,0
