policy_key,comision_soft,comision_guro,cobrado_guro,diff_comision
AA005985,-169236815.70000002,0.0,0.0,169236815.70000002
3016377,-973221.63,80282581.67,0.0,81255803.3
101006431,-69713226.0,0.0,0.0,69713226.0
1000272-20,36554074.870000005,0.0,0.0,36554074.870000005
AA005986,31714871.259999994,0.0,0.0,31714871.259999994
1000272-55,0.0,22493699.91,0.0,22493699.91
AA005985/CERTIFICADO AB002836,21600816.599999998,0.0,0.0,21600816.599999998
1000272,19903743.0,0.0,0.0,19903743.0
1000167-35,0.0,16761249.75,12349485.04,16761249.75
1000000615,16492800.0,0.0,0.0,16492800.0
1000000218-46,14664234.0,0.0,0.0,14664234.0
1000000033,14481285.0,0.0,0.0,14481285.0
1000167-28,14341557.0,0.0,0.0,14341557.0
1000000218,13190433.0,0.0,0.0,13190433.0
1000000617,12417181.0,0.0,0.0,12417181.0
1000000218-24,11855769.0,0.0,0.0,11855769.0
1000000033-30,11141213.0,0.0,0.0,11141213.0
1000167,10900692.69,0.0,0.0,10900692.69
1000167-20,9815282.0,0.0,0.0,9815282.0
1000103-13,9019589.38,0.0,0.0,9019589.38
1000003019,8982768.4,0.0,0.0,8982768.4
1000000615-7,8246400.0,0.0,0.0,8246400.0
101001149,0.0,8145004.98,0.0,8145004.98
1000000715,8090400.0,0.0,0.0,8090400.0
1000000614,7929200.0,0.0,0.0,7929200.0
101236665,6787955.13,0.0,0.0,6787955.13
1000003480,6750800.0,0.0,0.0,6750800.0
1000003750,6593359.0,0.0,0.0,6593359.0
1000003986,6480800.0,0.0,0.0,6480800.0
1000004130,6423200.0,0.0,0.0,6423200.0
AB000189/AB006444,0.0,6421131.449999999,0.0,6421131.449999999
1000000617-5,6172800.0,0.0,0.0,6172800.0
1000003604,5967436.0,0.0,0.0,5967436.0
1000003384,5864000.0,0.0,0.0,5864000.0
1000004939,0.0,5854800.0,5854800.0,5854800.0
1000004813,0.0,5799200.0,5792000.0,5799200.0
101236666,5540049.9,0.0,0.0,5540049.9
2000018224,5501208.2,0.0,0.0,5501208.2
1000000033-18,5123432.0,0.0,0.0,5123432.0
101162017-11,5090754.0,0.0,0.0,5090754.0
1000003982,4840000.0,0.0,0.0,4840000.0
1000003646,4791451.0,0.0,0.0,4791451.0
AA005270,4591912.0,0.0,0.0,4591912.0
1000005341,0.0,4457600.0,0.0,4457600.0
101004128-7,4369852.0,0.0,0.0,4369852.0
101005888-1,-4273470.0,0.0,0.0,4273470.0
AA006228,4066331.0,0.0,0.0,4066331.0
1000000715-4,4045200.0,0.0,0.0,4045200.0
1000004849,0.0,4016000.0,4016000.0,4016000.0
AA006234,3911506.0500000003,0.0,0.0,3911506.0500000003
AA000710,3907200.0,0.0,0.0,3907200.0
1000003675,0.0,3868800.0,0.0,3868800.0
1000005318,0.0,3860000.0,0.0,3860000.0
1000004967,343200.0,4101196.8,3273840.0,3757996.8
1000000835,3475600.0,0.0,0.0,3475600.0
1000003356,3422408.0,0.0,0.0,3422408.0
101000680,3260054.0,0.0,0.0,3260054.0
1000004017,3238400.0,0.0,0.0,3238400.0
1000003941,3208201.4,0.0,0.0,3208201.4
1000005087,0.0,3188800.0,2588000.0,3188800.0
101004128-5,3178575.0,0.0,0.0,3178575.0
1000004853,0.0,3154277.6,3116000.0,3154277.6
3156495,3123401.0,0.0,0.0,3123401.0
1000005315,1440000.0,4528000.0,0.0,3088000.0
101247463,3068859.0,0.0,0.0,3068859.0
1000005116,0.0,3052000.0,3040000.0,3052000.0
1000003364,3010271.0,0.0,0.0,3010271.0
101001165,0.0,2949874.06,0.0,2949874.06
101065748,2932382.0,0.0,0.0,2932382.0
1000005162,944000.0,3796000.0,2800000.0,2852000.0
1000003405,2702028.0,0.0,0.0,2702028.0
101000800,2677453.0,0.0,0.0,2677453.0
2050330714901,2670758.0,0.0,0.0,2670758.0
1000004243,2520000.0,0.0,0.0,2520000.0
101276423,0.0,2485455.0,2485455.0,2485455.0
1000004883,0.0,2457600.0,2349600.0,2457600.0
1000003550,2456000.0,0.0,0.0,2456000.0
2000556671,0.0,2398537.5,0.0,2398537.5
101252422,0.0,2366096.0,2366096.0,2366096.0
101000520,2364048.0,0.0,0.0,2364048.0
AA005903,2288606.0,0.0,0.0,2288606.0
101000448-1,0.0,2285870.0,2285870.0,2285870.0
1000004920,0.0,2246400.0,0.0,2246400.0
1901125002588,0.0,2227415.4,0.0,2227415.4
1000005095,0.0,2188000.0,2188000.0,2188000.0
1000003776,2157600.0,0.0,0.0,2157600.0
1000005061,0.0,2152800.0,2152800.0,2152800.0
AA005230,2142817.0,0.0,0.0,2142817.0
AA005636/AB000658,2130250.0,0.0,0.0,2130250.0
1000004013,2096000.0,0.0,0.0,2096000.0
1000004197,2080800.0,0.0,0.0,2080800.0
1000004164,2078000.0,0.0,0.0,2078000.0
1000003358,2073999.8,0.0,0.0,2073999.8
1000002713,2068805.0,0.0,0.0,2068805.0
1000003403,2068515.0,0.0,0.0,2068515.0
1000004776,8400.0,2063600.0,2046800.0,2055200.0
1000004003,2044000.0,0.0,0.0,2044000.0
1000004334,2040000.0,0.0,0.0,2040000.0
1000003640,2031986.8,0.0,0.0,2031986.8
1000004843,0.0,2025600.0,1994400.0,2025600.0
