poliza_id,policy_number,numero_cuota,prima_total_pago,total_pagado_oficina,saldo_pendiente_oficina,saldo_esperado_oficina,diff_saldo_oficina,numero_renovacion
205610.0,802063621,1/1,238000000.0,0.0,0.0,238000000.0,238000000.0,0
218532.0,1000272,2/3,68520251.0,0.0,0.0,68520251.0,68520251.0,0
213751.0,1000272-20,3/23,49117816.0,0.0,0.0,49117816.0,49117816.0,0
204999.0,1000272-49,1/5,48017389.0,0.0,0.0,48017389.0,48017389.0,0
204999.0,1000272-49,3/5,48017389.0,0.0,0.0,48017389.0,48017389.0,0
204999.0,1000272-49,2/5,48017389.0,0.0,0.0,48017389.0,48017389.0,0
213751.0,1000272-20,4/23,47684550.0,0.0,0.0,47684550.0,47684550.0,0
213751.0,1000272-20,3/3,45252376.0,0.0,0.0,45252376.0,45252376.0,0
213751.0,1000272-20,2/3,45252376.0,0.0,0.0,45252376.0,45252376.0,0
213751.0,1000272-20,1/3,45252376.0,0.0,0.0,45252376.0,45252376.0,0
218532.0,1000272,3/3,45115148.0,0.0,0.0,45115148.0,45115148.0,0
218532.0,1000272,2/3,45115148.0,0.0,0.0,45115148.0,45115148.0,0
218532.0,1000272,1/3,45115148.0,0.0,0.0,45115148.0,45115148.0,0
220194.0,1000167,5/20,35797167.0,0.0,0.0,35797167.0,35797167.0,0
203986.0,AA005986,2/7,35147907.0,0.0,0.0,35147907.0,35147907.0,0
203986.0,AA005986,1/7,35147907.0,0.0,0.0,35147907.0,35147907.0,0
207684.0,1000167-31,1/3,34785049.0,0.0,0.0,34785049.0,34785049.0,0
207684.0,1000167-31,2/3,34785049.0,0.0,0.0,34785049.0,34785049.0,0
207684.0,1000167-31,3/3,34785049.0,0.0,0.0,34785049.0,34785049.0,0
210651.0,1000167-28,2/3,32507531.0,0.0,0.0,32507531.0,32507531.0,0
210651.0,1000167-28,3/3,32507531.0,0.0,0.0,32507531.0,32507531.0,0
210651.0,1000167-28,1/3,32507531.0,0.0,0.0,32507531.0,32507531.0,0
216698.0,AA006228,1/1,32259560.0,0.0,0.0,32259560.0,32259560.0,0
222719.0,1000103-13,2/3,30666604.0,0.0,0.0,30666604.0,30666604.0,0
222719.0,1000103-13,1/3,30666604.0,0.0,0.0,30666604.0,30666604.0,0
203986.0,AA005986,3/13,30248172.0,0.0,0.0,30248172.0,30248172.0,0
203986.0,AA005986,3/7,30000000.0,0.0,0.0,30000000.0,30000000.0,0
202427.0,1000167-35,2/5,30000000.0,0.0,0.0,30000000.0,30000000.0,0
202427.0,1000167-35,1/5,30000000.0,0.0,0.0,30000000.0,30000000.0,0
,,/0,30000000.0,0.0,0.0,30000000.0,30000000.0,0
208442.0,AA005985/CERTIFICADO AB002836,1/5,28852093.0,0.0,0.0,28852093.0,28852093.0,0
200695.0,101090585,1/2,28080884.0,0.0,0.0,28080884.0,28080884.0,0
203986.0,AA005986,3/15,27822304.67,0.0,0.0,27822304.67,27822304.67,0
203986.0,AA005986,2/15,27262315.0,0.0,0.0,27262315.0,27262315.0,0
208442.0,AA005985/CERTIFICADO AB002836,1/5,27089213.0,0.0,0.0,27089213.0,27089213.0,0
208442.0,AA005985/CERTIFICADO AB002836,1/5,27071362.0,0.0,0.0,27071362.0,27071362.0,0
202427.0,1000167-35,3/5,27000000.0,0.0,0.0,27000000.0,27000000.0,0
203986.0,AA005986,2/13,25601373.0,0.0,0.0,25601373.0,25601373.0,0
212096.0,101000800,1/1,24830808.0,0.0,0.0,24830808.0,24830808.0,0
203985.0,AA005985,2/15,22639405.67,0.0,0.0,22639405.67,22639405.67,0
203985.0,AA005985,1/15,22639405.67,0.0,0.0,22639405.67,22639405.67,0
203985.0,AA005985,3/15,22639405.67,0.0,0.0,22639405.67,22639405.67,0
222347.0,101236666,1/2,22000000.0,0.0,0.0,22000000.0,22000000.0,0
222347.0,101236666,1/2,22000000.0,0.0,0.0,22000000.0,22000000.0,0
222365.0,101236665,1/3,21948611.0,0.0,0.0,21948611.0,21948611.0,0
222365.0,101236665,1/3,21948611.0,0.0,0.0,21948611.0,21948611.0,0
203985.0,AA005985,2/13,21869883.0,0.0,0.0,21869883.0,21869883.0,0
203985.0,AA005985,1/13,21869883.0,0.0,0.0,21869883.0,21869883.0,0
203986.0,AA005986,2/13,21795437.0,0.0,0.0,21795437.0,21795437.0,0
203986.0,AA005986,1/13,21795437.0,0.0,0.0,21795437.0,21795437.0,0
216110.0,1000167-20,4/10,21450996.0,0.0,0.0,21450996.0,21450996.0,0
216110.0,1000167-20,3/10,21450994.0,0.0,0.0,21450994.0,21450994.0,0
216110.0,1000167-20,1/10,21450994.0,0.0,0.0,21450994.0,21450994.0,0
