id,recibo_key,valor_recaudado_en_oficina,estado,created_at
101817,26931,0.0,activo,2026-03-01 11:51:33
103664,16252,0.0,activo,2026-03-01 12:00:10
103699,16151,0.0,activo,2026-03-01 12:00:17
103705,15837,6.0,activo,2026-03-01 12:00:19
103718,15762,2.0,activo,2026-03-01 12:00:21
103829,14976,0.0,activo,2026-03-01 12:00:45
105283,2402,214998.0,activo,2026-03-01 12:06:36
105299,2321,0.0,activo,2026-03-01 12:06:38
105307,2206,0.0,activo,2026-03-01 12:06:40
105308,2196,0.0,activo,2026-03-01 12:06:40
105313,2179,0.0,activo,2026-03-01 12:06:43
105332,1945,418000.0,activo,2026-03-01 12:06:47
105333,1946,0.0,activo,2026-03-01 12:06:47
105334,1955,451000.0,activo,2026-03-01 12:06:47
105343,1875,7501.0,activo,2026-03-01 12:06:49
105361,1752,4000.0,activo,2026-03-01 12:06:53
105390,1497,359326.0,activo,2026-03-01 12:07:00
105391,1911,0.0,activo,2026-03-01 12:07:00
105398,1577,11000.0,activo,2026-03-01 12:07:00
105689,44,481750.0,activo,2026-03-01 12:08:38
105690,44,673000.0,activo,2026-03-01 12:08:38
105691,44,673000.0,activo,2026-03-01 12:08:38
105692,44,911950.0,activo,2026-03-01 12:08:38
106411,132,2214838.0,activo,2026-03-02 16:29:16
106412,132,480100.0,activo,2026-03-02 16:29:16
106413,132,318100.0,activo,2026-03-02 16:29:16
106414,132,421750.0,activo,2026-03-02 16:29:16
106415,132,26180.0,activo,2026-03-02 16:29:16
106416,132,96671.0,activo,2026-03-02 16:29:16
106417,132,298832.0,activo,2026-03-02 16:29:16
106418,132,-298832.0,activo,2026-03-02 16:29:16
106430,132,1170151.0,activo,2026-03-02 16:29:20
107580,229,336500.0,activo,2026-03-02 16:35:27
107897,378,387250.0,activo,2026-03-02 16:37:07
107922,412,8000.0,activo,2026-03-02 16:37:17
107923,411,4000.0,activo,2026-03-02 16:37:17
107969,432,26180.0,activo,2026-03-02 16:37:30
107970,431,480100.0,activo,2026-03-02 16:37:30
108015,475,4000.0,activo,2026-03-02 16:37:45
108050,500,130000.0,activo,2026-03-02 16:37:55
108081,555,905650.0,activo,2026-03-02 16:38:08
108196,650,145000.0,activo,2026-03-02 16:38:43
108210,656,10000.0,activo,2026-03-02 16:38:46
108222,685,68000.0,activo,2026-03-02 16:38:52
108250,697,4000.0,activo,2026-03-02 16:38:59
108372,837,60000.0,activo,2026-03-02 16:39:40
108382,847,12000.0,activo,2026-03-02 16:39:43
108554,1010,566750.0,activo,2026-03-02 16:40:39
108570,1014,758450.0,activo,2026-03-02 16:40:42
108574,1030,67732.0,activo,2026-03-02 16:40:45
